"nr","dur","status","aargang","udd"
1,12,1,6,0
2,16,1,6,0
3,19,1,6,0
4,22,1,6,0
5,26,1,6,0
6,27,1,6,0
7,28,1,6,0
8,29,1,6,0
9,32,1,6,0
10,33,1,6,0
11,36,1,6,0
12,38,1,6,0
13,42,1,6,0
14,48,1,6,0
15,50,1,6,0
16,52,1,6,0
17,64,1,6,0
18,78,1,6,0
19,88,1,6,0
20,91,1,6,0
21,110,1,6,0
22,142,1,6,0
23,148,1,6,0
24,156,1,6,0
25,160,1,6,0
26,182,0,6,0
27,12,1,7,0
28,20,1,7,0
29,24,1,7,0
30,26,1,7,0
31,26,1,7,0
32,26,1,7,0
33,28,1,7,0
34,39,1,7,0
35,40,1,7,0
36,40,1,7,0
37,42,1,7,0
38,44,1,7,0
39,50,1,7,0
40,52,1,7,0
41,52,1,7,0
42,52,1,7,0
43,52,1,7,0
44,52,1,7,0
45,52,1,7,0
46,54,1,7,0
47,64,1,7,0
48,79,1,7,0
49,82,1,7,0
50,82,1,7,0
51,84,1,7,0
52,96,1,7,0
53,106,0,7,0
54,106,1,7,0
55,108,1,7,0
56,110,1,7,0
57,112,1,7,0
58,116,1,7,0
59,132,1,7,0
60,156,1,7,0
61,160,0,7,0
62,162,0,7,0
63,11,1,8,0
64,16,1,8,0
65,19,1,8,0
66,19,1,8,0
67,23,1,8,0
68,25,1,8,0
69,25,1,8,0
70,26,1,8,0
71,26,1,8,0
72,30,1,8,0
73,30,1,8,0
74,31,1,8,0
75,43,1,8,0
76,43,1,8,0
77,44,1,8,0
78,48,1,8,0
79,48,1,8,0
80,52,1,8,0
81,52,1,8,0
82,52,1,8,0
83,60,1,8,0
84,61,1,8,0
85,64,1,8,0
86,68,1,8,0
87,72,1,8,0
88,78,1,8,0
89,80,1,8,0
90,82,1,8,0
91,84,1,8,0
92,88,1,8,0
93,90,1,8,0
94,100,1,8,0
95,102,1,8,0
96,104,1,8,0
97,114,1,8,0
98,132,1,8,0
99,156,1,8,0
100,158,1,8,0
101,161,1,8,0
102,162,1,8,0
103,165,1,8,0
104,168,1,8,0
105,183,1,8,0
106,184,0,8,0
107,184,0,8,0
108,184,0,8,0
109,184,0,8,0
110,184,0,8,0
111,184,0,8,0
112,184,0,8,0
113,57,1,8,0
114,120,1,8,0
115,130,1,8,0
116,184,0,8,0
117,4,1,9,0
118,12,1,9,0
119,12,1,9,0
120,13,1,9,0
121,16,1,9,0
122,16,1,9,0
123,18,0,9,0
124,20,1,9,0
125,26,1,9,0
126,28,1,9,0
127,28,1,9,0
128,28,1,9,0
129,31,1,9,0
130,31,1,9,0
131,32,1,9,0
